PDB_ID,chain_ID
1U4E,A
1IW0,C
2PG1,B
2OOA,A
1A43,_
1FCC,C
1MV9,A
1ZYN,A
1ZLI,B
1J1D,A
1DTL,A
1G49,A
2DFK,D
1N8L,A
2AL4,D
1Y9T,A
2CJR,D
2DTQ,B
2GTK,A
1CSG,A
2OFP,B
1DN1,B
1FGZ,A
1YTY,B
1MK7,B
2PEH,A
1DIV,_
2FUN,B
1QGT,B
1Z6S,B
1DFJ,E
1NAY,B
2F5M,B
1R0X,B
1XF9,A
1SKM,A
2BX9,L
2MB5,_
1COL,B
2ETL,A
1OVL,F
2BUO,A
1NF0,B
1DPF,A
1FKH,_
1YLA,B
2TRX,A
2F3Y,A
1OQR,C
1ODV,A
2BF5,B
1YKY,X
1A6K,A
1KDB,A
1B1H,A
1QRX,A
1CWC,A
3LZT,A
1RUV,A
1LZ1,_
1VFQ,A
1KQR,A
1A2P,A
2ADF,A
1N2D,A
1ZW9,A
2FCL,A
2BE6,A
1P7T,A
1B2V,A
2VFX,_
1YKT,B
1UP1,_
1CNR,_
1RX2,A
1YCE,R
1QD7,C
1SCE,A
1E96,A
1UUH,A
1E31,A
1MZN,C
1COM,I
4CRO,B
2GHP,B
2LZH,_
1QMY,A
